Provincia;Cantón;Distrito;Acumulados;Recuperados;Fallecidos;Activos
San José;Acosta;Cangrejal;  46;  27; 0;19
San José;Acosta;Guaitil;  63;  52;  1;10
San José;Acosta;Palmichal;  127;  103; 0;24
San José;Acosta;Sabanillas;  21;  15; 0;6
San José;Acosta;San Ignacio;  302;  248;  1;53
San José;Acosta;Sin información de distrito;  3;  2; 0;1
San José;Alajuelita;Alajuelita;  764;  557;  16;191
San José;Alajuelita;Concepción;1059;744;12;303
San José;Alajuelita;San Antonio;170;112;3;55
San José;Alajuelita;San Felipe;1874;1428;18;428
San José;Alajuelita;San Josecito;589;413;2;174
San José;Alajuelita;Sin información de distrito;8;8;0;0
San José;Aserrí;Aserrí;813;415;8;390
San José;Aserrí;Legua;2;2;0;0
San José;Aserrí;Monterrey;7;3;0;4
San José;Aserrí;Salitrillos;200;109;4;87
San José;Aserrí;San Gabriel;79;30;1;48
San José;Aserrí;Tarbaca;42;17;0;25
San José;Aserrí;Vuelta de Jorco;172;74;0;98
San José;Aserrí;Sin información de distrito;17;17;0;0
San José;Curridabat;Curridabat;973;659;12;302
San José;Curridabat;Granadilla;459;336;8;115
San José;Curridabat;Sánchez;109;76;0;33
San José;Curridabat;Tirrases;853;697;15;141
San José;Curridabat;Sin información de distrito;16;15;0;1
San José;Desamparados;Damas;379;186;8;185
San José;Desamparados;Desamparados;1186;613;31;542
San José;Desamparados;Frailes;23;10;0;13
San José;Desamparados;Gravilias;323;147;5;171
San José;Desamparados;Los Guido;1006;477;14;515
San José;Desamparados;Patarra;287;145;3;139
San José;Desamparados;Rosario;46;25;2;19
San José;Desamparados;San Antonio;243;111;6;126
San José;Desamparados;San Cristobal;38;17;0;21
San José;Desamparados;San Juan de Dios;611;307;9;295
San José;Desamparados;San Miguel;1386;592;12;782
San José;Desamparados;San Rafael Abajo;1036;577;8;451
San José;Desamparados;San Rafael Arriba;557;207;10;340
San José;Desamparados;Sin información de distrito;26;24;1;1
San José;Dota;Copey;1;1;0;0
San José;Dota;Jardín;4;4;0;0
San José;Dota;Santa María;12;10;0;2
San José;Dota;Sin información de distrito;0;0;0;0
San José;Escazú;Escazú;453;397;8;48
San José;Escazú;San Antonio;515;461;11;43
San José;Escazú;San Rafael;630;574;4;52
San José;Escazú;Sin información de distrito;15;15;0;0
San José;Goicoechea;Calle Blancos;392;274;7;111
San José;Goicoechea;Guadalupe;749;469;15;265
San José;Goicoechea;Ipis;731;501;19;211
San José;Goicoechea;Mata de Plátano;427;293;4;130
San José;Goicoechea;Purral;925;683;7;235
San José;Goicoechea;Rancho Redondo;96;59;0;37
San José;Goicoechea;San Francisco;43;36;2;5
San José;Goicoechea;Sin información de distrito;23;20;0;3
San José;León Cortés Castro;Llano Bonito;2;2;0;0
San José;León Cortés Castro;San Andrés;4;4;0;0
San José;León Cortés Castro;San Antonio;14;14;0;0
San José;León Cortés Castro;San Isidro;4;4;0;0
San José;León Cortés Castro;San Pablo;24;19;0;5
San José;León Cortés Castro;Santa Cruz;6;0;0;6
San José;León Cortés Castro;Sin información de distrito;0;0;0;0
San José;Montes de Oca;Mercedes;44;29;0;15
San José;Montes de Oca;Sabanilla;199;158;1;40
San José;Montes de Oca;San Pedro;513;356;8;149
San José;Montes de Oca;San Rafael;263;197;2;64
San José;Montes de Oca;Sin información de distrito;6;4;0;2
San José;Mora;Colón;416;311;6;99
San José;Mora;Guayabo;95;78;2;15
San José;Mora;Jaris;5;4;0;1
San José;Mora;Picagres;6;6;0;0
San José;Mora;Piedras Negras;4;2;0;2
San José;Mora;Quitirrisí;12;12;0;0
San José;Mora;Tabarcia;96;83;1;12
San José;Mora;Sin información de distrito;4;4;0;0
San José;Moravia;La Trinidad;456;357;8;91
San José;Moravia;San Jerónimo;108;87;1;20
San José;Moravia;San Vicente;486;389;5;92
San José;Moravia;Sin información de distrito;5;5;0;0
San José;Pérez Zeledón;Barú;0;0;0;0
San José;Pérez Zeledón;Cajón;41;7;0;34
San José;Pérez Zeledón;Daniel Flores;164;45;2;117
San José;Pérez Zeledón;El General;3;1;0;2
San José;Pérez Zeledón;La Amistad;3;0;0;3
San José;Pérez Zeledón;Paramo;11;5;0;6
San José;Pérez Zeledón;Pejibaye;45;3;0;42
San José;Pérez Zeledón;Platanares;20;4;0;16
San José;Pérez Zeledón;Río Nuevo;13;5;0;8
San José;Pérez Zeledón;Rivas;14;2;1;11
San José;Pérez Zeledón;San Isidro de El General;212;55;0;157
San José;Pérez Zeledón;San Pedro;16;8;0;8
San José;Pérez Zeledón;Sin información de distrito;2;2;0;0
San José;Puriscal;Barbacoas;72;54;0;18
San José;Puriscal;Candelarita;19;17;1;1
San José;Puriscal;Chires;14;8;0;6
San José;Puriscal;Desamparaditos;10;6;0;4
San José;Puriscal;Grifo Alto;12;8;1;3
San José;Puriscal;Mercedes Sur;74;58;2;14
San José;Puriscal;San Antonio;86;65;0;21
San José;Puriscal;San Rafael;44;38;1;5
San José;Puriscal;Santiago;194;146;2;46
San José;Puriscal;Sin información de distrito;0;0;0;0
San José;San José;Catedral;757;589;9;159
San José;San José;El Carmen;311;177;5;129
San José;San José;Hatillo;2329;1957;44;328
San José;San José;Hospital;1571;1257;34;280
San José;San José;Mata Redonda;290;203;6;81
